City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,clarksdale,34.2001,-90.5709,6.62,84,0,2.06,US,1708417012
1,adamstown,-25.066,-130.1015,25.52,87,45,5.27,PN,1708417013
2,quelimane,-17.8786,36.8883,26.97,94,75,3.93,MZ,1708417013
3,korla,41.7597,86.1469,-2.78,24,100,2.48,CN,1708417014
4,port elizabeth,-33.918,25.5701,31.17,75,0,4.63,ZA,1708417015
5,curup,-3.4667,102.5333,25.26,92,100,0.65,ID,1708417015
6,dampit,-8.2116,112.7493,28.77,78,69,1.67,ID,1708417016
7,new norfolk,-42.7826,147.0587,21.72,63,100,1.39,AU,1708417017
8,iquitos,-3.7481,-73.2472,25.02,100,100,0.0,PE,1708417018
9,talnakh,69.4865,88.3972,-17.11,95,100,6.15,RU,1708417018
10,waitangi,-43.9535,-176.5597,13.23,81,96,2.24,NZ,1708417019
11,uryv-pokrovka,51.1159,39.1639,-4.34,82,81,2.43,RU,1708417019
12,enewetak,11.3474,162.3373,26.54,71,96,9.78,MH,1708417020
13,constantia,44.1833,28.65,7.61,73,14,2.62,RO,1708416845
14,anadyr,64.75,177.4833,-12.72,85,75,3.0,RU,1708417021
15,aasiaat,68.7098,-52.8699,-12.99,99,83,1.96,GL,1708417022
16,mili,6.0815,171.735,27.74,85,99,7.81,MH,1708416926
17,albany,42.6001,-73.9662,-9.19,66,0,1.39,US,1708416917
18,dourbali,11.8091,15.8632,29.9,10,15,4.75,TD,1708417024
19,saipan,15.1355,145.701,26.39,73,40,10.29,MP,1708417025
20,ola,59.5833,151.2833,-21.59,82,100,5.19,RU,1708417030
21,piacabucu,-10.4056,-36.4344,25.97,89,100,1.76,BR,1708417031
22,edinburgh of the seven seas,-37.0676,-12.3116,15.3,63,99,3.46,SH,1708417031
23,greymouth,-42.4667,171.2,11.75,69,1,1.81,NZ,1708417032
24,iskateley,67.6803,53.1512,-7.77,91,100,9.83,RU,1708417032
25,guerrero negro,27.9769,-114.0611,14.2,78,0,4.11,MX,1708417034
26,midvagur,62.0511,-7.1939,7.46,70,75,7.72,FO,1708417034
